carat colour clarity cut cost fluorescence size certificate
0.608 	D 	VVS1 	3Ex  	402080 	None 	5.52-5.56x3.30 	-
0.600 	D 	VVS1 	3Ex  	396847 	Faint 	5.37-5.42x3.33 	-
0.685 	E 	VVS1 	3Ex  	397787 	None 	5.72-5.74x3.45 	sold
0.680 	E 	VVS1 	3Ex  	394915 	None 	5.70-5.73x3.48 	sold
0.628 	E 	VVS1 	3Ex  	340651 	Medium 	5.46-5.48x3.38 	-
0.626 	E 	VVS1 	3Ex  	339580 	Faint 	5.45-5.49x3.39 	-
0.622 	E 	VVS1 	3Ex  	337438 	None 	5.42-5.45x3.42 	-
0.614 	E 	VVS1 	3Ex  	333154 	None 	5.37-5.43x3.38 	-
0.607 	E 	VVS1 	3Ex  	329406 	None 	5.47-5.49x3.33 	-
0.606 	E 	VVS1 	3Ex  	328870 	None 	5.44-5.48x3.34 	-
0.603 	E 	VVS1 	3Ex  	327264 	Faint 	5.50-5.52x3.30 	-
0.601 	E 	VVS1 	3Ex  	326193 	None 	5.40-5.42x3.32 	-
0.601 	E 	VVS1 	3Ex  	326193 	Medium 	5.39-5.42x3.32 	-
0.637 	F 	VVS1 	3Ex  	323398 	None 	5.53-5.57x3.41 	-
0.614 	F 	VVS1 	3Ex  	311879 	None 	5.50-5.51x3.35 	sold
0.614 	F 	VVS1 	3Ex  	311879 	VeryStrong 	5.53-5.54x3.34 	-
0.612 	F 	VVS1 	3Ex  	310877 	None 	5.52-5.55x3.33 	-
0.610 	F 	VVS1 	3Ex  	309876 	None 	5.49-5.50x3.36 	-
0.608 	F 	VVS1 	3Ex  	308874 	Medium 	5.44-5.48x3.34 	-
0.662 	D 	VVS2 	3Ex  	388747 	Medium 	5.60-5.65x3.44 	-
0.659 	D 	VVS2 	3Ex  	387005 	Faint 	5.63-5.64x3.41 	-
0.654 	D 	VVS2 	3Ex  	384102 	Faint 	5.60-5.63x3.44 	-
0.639 	D 	VVS2 	3Ex  	375392 	Medium 	5.50-5.52x3.41 	-
0.639 	D 	VVS2 	3Ex  	375392 	Faint 	5.58-5.59x3.38 	-
0.620 	D 	VVS2 	3Ex  	364360 	Faint 	5.47-5.49x3.41 	-
0.616 	D 	VVS2 	3Ex  	362037 	Faint 	5.47-5.49x3.36 	-
0.613 	D 	VVS2 	3Ex  	360295 	Medium 	5.47-4.49x3.37 	-
0.613 	D 	VVS2 	3Ex  	365545 	Medium 	5.46-5.48x3.37 	GIA
0.609 	D 	VVS2 	3Ex  	357973 	None 	5.40-5.43x3.36 	sold
0.607 	D 	VVS2 	3Ex  	356812 	Medium 	5.41-5.44x3.38 	-
0.639 	E 	VVS2 	3Ex  	333123 	Strong 	5.52-5.55x3.40 	-
0.630 	E 	VVS2 	3Ex  	328492 	Faint 	5.49-5.51x3.42 	-
0.620 	E 	VVS2 	3Ex  	323347 	Medium 	5.50-5.51x3.36 	-
0.619 	E 	VVS2 	3Ex  	322833 	None 	5.50-5.53x3.33 	-
0.616 	E 	VVS2 	3Ex  	321289 	Faint 	5.49-5.51x3.36 	-
0.616 	E 	VVS2 	3Ex  	321289 	Strong 	5.47-5.49x3.39 	-
0.616 	E 	VVS2 	3Ex  	321289 	None 	5.46-5.49x3.35 	-
0.614 	E 	VVS2 	3Ex  	320260 	Faint 	5.47-5.49x3.37 	sold
0.613 	E 	VVS2 	3Ex  	319746 	None 	5.42-5.45x3.36 	-
0.603 	E 	VVS2 	3Ex  	319851 	None 	5.35-5.39x3.37 	GIA
0.635 	F 	VVS2 	3Ex  	305061 	Faint 	5.58-5.61x3.36 	-
0.617 	F 	VVS2 	3Ex  	296537 	Medium 	5.47-5.50x3.37 	-
0.613 	F 	VVS2 	3Ex  	299893 	None 	5.41-5.43x3.35 	GIA
0.607 	F 	VVS2 	3Ex  	291802 	None 	5.45-5.48x3.37 	sold
0.604 	F 	VVS2 	3Ex  	295631 	Faint 	5.36-5.42x3.37 	GIA
